O=C(CCCl)Nc1ccc2[nH]c(=O)[nH]c2c1 ZINC000009295569
NC(=O)N(CCBr)N=O ZINC000005112860
CCOc1ccc(NC(=O)CCCl)cc1 ZINC000002166765
O=C(CCCCl)CCCCl ZINC000001690071
O[C@H](CBr)c1cccs1 ZINC000036222355
CCS(=O)(=O)[C@@H](Cl)C(C)=O ZINC000096517818
C[C@H]1CN(C(=O)[C@H](C)Cl)C[C@@H](C)O1 ZINC000015913985
CC1CCN(C(=O)[C@H](C)Br)CC1 ZINC000041710134
FC(F)(F)[C@@H]1CC=CC[C@H]1CBr ZINC001772716636
CC(=O)Oc1ccc(CBr)cc1 ZINC000034597870
Cc1cc(C(=O)CCl)c(C)n1CC(N)=O ZINC000004207105
C/C=C/[C@H]1OC[C@H](CCl)O1 ZINC000004721097
COc1cccc(CN(C)C(=O)[C@@H](C)Cl)n1 ZINC001875366562
C[C@@H](Cl)c1nc(Cc2ccc(F)cc2)no1 ZINC000036925422
N#CCc1ccccc1CCl ZINC000034454931
O=S1(=O)NC(CCl)=Nc2cccc(F)c21 ZINC000725343512
CCCCC(=O)[C@H](Cl)CCC ZINC000005819906
CCOC(=O)[C@H]1CC[C@@H]1Br ZINC000060015007
C[C@@H](Cl)C(C)(C)O ZINC000080177724
CO[Si](C)(C[C@H](C)CCl)OC ZINC000195766774
CC[C@@H](CCl)N(C)C ZINC000006411890
O=S(=O)(CCCl)CCCl ZINC000001628310
O[C@@H]1CCC2(OCCO2)[C@H]1Br ZINC000238851116
CCS(=O)(=O)[C@@H](Br)C(C)=O ZINC000096517896
N#Cc1ccc(C(=O)CBr)s1 ZINC000011919432
O=C[C@H](Cl)Cc1ccc([N+](=O)[O-])cc1 ZINC000002173603
O=C(CCl)Nc1cccc(OC(F)F)c1 ZINC000001465836
Cl[C@H]1CN2CCN1CC2 ZINC000096301164
O=C(CCl)Cc1cccc(F)c1 ZINC000019440612
Cc1cc(C)c(C(=O)CBr)c(C)c1 ZINC000001587644
CC(C)N(C(=O)C(Cl)Cl)C(C)C ZINC000001672994
CCN(C(=O)CCl)[C@@H](C)c1ccc(F)cc1 ZINC000037654207
CCn1cc(CN(C)C(=O)[C@@H](C)Cl)nn1 ZINC001875367600
COCCOC(=O)CCl ZINC000001687365
CC[C@@](C)(NC(=O)CCl)c1nccs1 ZINC001253968140
CCN(C[C@@H]1CCN(C)C1)C(=O)CCl ZINC000079406533
CNC(=O)[C@H](F)I ZINC000008698290
CN1CCC[C@H](CBr)C1=O ZINC000299805501
O=C(c1ccc(CCl)cc1)N1CCOCC1 ZINC000036929909
C[C@@H](Br)OC(=O)Cc1ccccn1 ZINC000238403466
