CC(C)(O)c1cc(CC2(N)COC2)no1 ZINC000067870510
C[C@H]1CNC[C@H]1NC(=O)OC(C)(C)C ZINC000023508779
C=CCOc1ccc(CNC(C)C)cc1 ZINC000010436053
CN[C@@]1(CO)CC[C@@H](C)C1 ZINC000070645182
C(=C/C1CCNCC1)\c1ccccc1 ZINC000072207760
N[C@H]1CC[C@@H](C(=O)OCc2ccccc2)CC1 ZINC000116113070
CCOCc1cccc(N)c1N ZINC000256054118
CCC(=O)c1cnc(N2CCNCC2)c(C)c1 ZINC000072222531
C[C@H](NCCO)c1cnccn1 ZINC000070024880
CCCCOc1ccc(N)cc1OCCCC ZINC000022114990
Cc1ccc([C@@H]2C[C@]2(CN)CO)cc1 ZINC000062713633
COc1ccc(C)c([C@@H]2CCCN2)c1 ZINC000084452814
O=C(CCCc1ccccc1)[C@@H]1CCCNC1 ZINC000041257960
C[C@H]1NCCC[C@@H]1N(C)C ZINC000107259633
NCCOc1ccc2ccccc2c1 ZINC000004072772
COc1cccc(C(F)(F)F)c1N ZINC000034622342
CC[C@@H](C)[C@H](C)NC1CC1 ZINC000020083085
Cc1ccc(CC2(O)CCNCC2)cc1 ZINC000038996981
C[C@H]1CN(Cc2ccccc2)C[C@@H]1CN ZINC000026895813
NC[C@H]1C[C@@H]2C=C[C@@H]1C2 ZINC000100000378
Cc1ccc(CN[C@H](C)C(C)C)cc1 ZINC000019962514
COc1ccc2c(c1)[C@@]1(CCC2)COCCN1 ZINC000306145636
COC(=O)[C@@H]1C[C@@H]2C[C@@H](C2(C)C)[C@]1(C)N ZINC000032098955
C[Si](C)(C)O[C@@H]1CCC[C@H]1N ZINC000195760070
CC(C)c1nc([C@H](N)CO)cs1 ZINC000083276742
CC(=O)c1cc(N)c(C)cc1[N+](=O)[O-] ZINC000005212238
NCCc1cccc(OC(F)F)c1 ZINC000037721346
C(=C/c1ccccc1)\CCN[C@@H]1CCCNC1 ZINC000079439245
O=C(C[C@H]1CCCN1)c1ccccc1 ZINC000034241701
CCOC(=O)c1nc([C@H](C)NC)n[nH]1 ZINC000085443396
C[C@H](CN)CO[C@H]1CCOC1 ZINC000218825358
COCCOC(=O)Cc1cccc(N)c1 ZINC000020154997
