O=C(O)c1cc(Cl)c(C(=O)O)cc1Cl ZINC000000394625
O=C(O)c1ncc(Cl)cc1O ZINC000098113590
Cn1c(C(=O)O)cc2cccc(Cl)c21 ZINC000021953391
O=C(O)c1cc(F)cc(Br)c1F ZINC000095930272
O=C(O)C(=O)Cc1ccc(Br)s1 ZINC000019397870
O=C(O)c1ccc(-c2cccc(Cl)c2)[nH]1 ZINC000039321058
N#C/C(=C/c1ccccc1Cl)C(=O)O ZINC000095911163
COC(=O)c1cc(C)nc(Cl)c1C(=O)O ZINC000001715449
C[C@](N)(C(=O)O)c1ccc(Cl)cc1Cl ZINC000019517907
O=C(O)c1ccc(-c2ccc(Cl)cc2)o1 ZINC000000135054
Cc1ccc(C(=O)O)c(N)c1Cl ZINC000083822684
Cc1cc(N(C)CCC(=O)O)ccc1Cl ZINC000020133787
O=C(O)c1ccc(S)cc1Br ZINC000002576375
O=C(O)c1c[nH]c2c(Cl)ccnc12 ZINC000044713393
O=C(O)/C=C/c1c(Cl)cc(F)cc1Cl ZINC000263625333
O=C(O)C[C@H](C[N+](=O)[O-])c1cccc(Cl)c1 ZINC000057534363
CC(C)Oc1ccc(Cl)c(C(=O)O)n1 ZINC000019965809
COc1cc(C(=O)O)sc1Br ZINC000083925334
N[C@H](C(=O)O)c1ccc(Cl)cc1Cl ZINC000002582454
O=C(O)c1cnc(Cl)s1 ZINC000001394516
N=C(N)c1cc(C(=O)O)ccc1Cl ZINC000075847684
O=C(O)C[C@H](c1ccccc1Cl)n1cccc1 ZINC000082554847
O=C(O)/C=C/c1cc(F)c(Cl)cc1Cl ZINC000002504979
N[C@@H](C(=O)O)c1cc(Cl)c(O)c(Cl)c1 ZINC000034581759
O=C(O)[C@H](c1ccccc1Cl)N1CCCC1 ZINC000016771213
O=C(O)CNCc1ccc(Cl)s1 ZINC000036722846
O=C(O)C1(c2ccc(Br)cc2)CC1 ZINC000012505564
O=C(O)c1sc2ccc(F)c(F)c2c1Cl ZINC000228935503
CC(=O)Nc1ccc(C(=O)O)cc1Cl ZINC000000045786
O=C(O)CCC(=O)Nc1ccc(Cl)cc1F ZINC000006731190
Nc1cc(Br)ccc1/C=C/C(=O)O ZINC000002525481
O=C(O)[C@@H](O)Cc1cc(Cl)cc(Cl)c1 ZINC000076164169
COc1c(Cl)cc(C(=O)O)cc1C#N ZINC000026508510
Cc1cc(Cl)ccc1CC(=O)O ZINC000039328253
Cc1nnc2c(C(=O)O)cc(Cl)nn12 ZINC000098180598
O=C(O)c1ccc2c(Cl)nnc(Cl)c2c1 ZINC000095630916
Cc1ccc(CCC(=O)O)cc1Cl ZINC000008231217
O=C(O)CCn1cc(Br)cn1 ZINC000002549513
CCn1cc(Cl)c(C(=O)O)n1 ZINC000002389251
Cn1cc(Cl)cc1C(=O)O ZINC000007986287
O=C(O)CCCc1cccc(Br)c1 ZINC000036179808
O=C(O)[C@@H]1C[C@@H]1c1cccc(Cl)c1F ZINC000125064618
O=C(O)Cn1cc([N+](=O)[O-])c(Cl)n1 ZINC000019872697
CC[C@H](Cc1cccc(Cl)c1Cl)C(=O)O ZINC000062711217
Cc1nn(-c2ccc(Cl)cc2)nc1C(=O)O ZINC000002571532
CC(/C=C/c1ccc(Cl)cc1)=C\C(=O)O ZINC000023550176
CCn1ncc2c(Cl)c(C(=O)O)cnc21 ZINC000021985094
O=C(O)CCCn1cc(Br)cn1 ZINC000012357814
Nc1c(C(=O)O)ccc(Cl)c1Cl ZINC000005223908
Nc1ccc(Cl)c(-c2ccc(C(=O)O)o2)c1 ZINC000073640306
Nc1cc(Br)cc(F)c1C(=O)O ZINC000117854992
COc1ccc(Cl)c(CC(=O)O)c1F ZINC000038529662
O=C(O)Cn1c(=O)oc2cc(Cl)ccc21 ZINC000000265963
O=C(O)c1cc(Cl)c(O)c(Cl)c1O ZINC000005749087
O=C(O)c1ccc(Cl)c(C(=O)O)c1 ZINC000001601965
O=C(O)[C@@H]1NCCc2ccc(Cl)cc21 ZINC000040448844
CCOc1cc(C(=O)O)cc(Cl)c1OC ZINC000000479876
O=C(O)c1c[nH]cc1-c1ccc(Cl)cc1 ZINC000004203526
COc1cc(Cl)cc(C(=O)O)n1 ZINC000034574555
O=C(O)Cc1nccc(OC(F)F)c1Cl ZINC000396141763
O=C(O)c1conc1-c1ccccc1Cl ZINC000071531425
O=C(O)[C@H]1CCCN(c2ncc(Cl)cn2)C1 ZINC000072203013
O=C(O)/C=C/c1cc(F)cc(Cl)c1O ZINC000044214713
O=C(O)c1cc(Cl)cc2c1OCC2 ZINC000034202093
